Title,Artist,Genres,Album,Duration,Img
DÁKITI,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",DÁKITI,3:25,https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8
Uptown Funk (feat. Bruno Mars),Mark Ronson,['pop soul'],Uptown Special,4:29,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2
Without Me,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Eminem Show,4:50,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
That's What I Like,Bruno Mars,"['dance pop', 'pop']",24K Magic,3:26,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
Feel a Way,Darius Martin,[],Feel a Way,2:20,https://i.scdn.co/image/ab67616d0000b273c51f54a5ed90a20ad7ced10c
Roses - Imanbek Remix,SAINt JHN,"['melodic rap', 'slap house']",Roses (Imanbek Remix),2:56,https://i.scdn.co/image/ab67616d0000b273b340b496cb7c38d727ff40be
There's Nothing Holdin' Me Back,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Illuminate (Deluxe),3:19,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
Faded,Alan Walker,['electro house'],Different World,3:32,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a
Unforgettable,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Jungle Rules,3:53,https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07
Leave In The Morning,Will Swinton,[],Leave In The Morning,2:48,https://i.scdn.co/image/ab67616d0000b273802b17e797f896072fff62c3
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']","At Night, Alone.",3:17,https://i.scdn.co/image/ab67616d0000b27340512e02a594e3378c0256e6
When I Was Your Man,Bruno Mars,"['dance pop', 'pop']",Unorthodox Jukebox,3:33,https://i.scdn.co/image/ab67616d0000b27349055dce3554e72e82082980
Wonderwall - Remastered,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",(What's The Story) Morning Glory? (Deluxe Remastered Edition),4:18,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf
Smells Like Teen Spirit,Nirvana,"['grunge', 'permanent wave', 'rock']",Nevermind (Remastered),5:01,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6
MONTERO (Call Me By Your Name),Lil Nas X,['lgbtq+ hip hop'],MONTERO (Call Me By Your Name),2:17,https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d
